event_id,timestamp,email,ip_country,phone_country,device_id,ip_address,user_agent,failed_otps,last_24h_signups_ip,last_24h_signups_device,is_disposable_email,is_proxy_ip,session_duration_sec,navigation_entropy,label
1,2025-11-04T11:21:00Z,john1@gmail.com,US,US,dev_a,31.12.14.2,mozilla,0,1,1,false,false,180,2.6,0
2,2025-11-04T11:24:00Z,trial987@tempmail.com,US,IN,dev_x1,31.12.14.2,headless,4,11,7,true,true,18,0.5,1
3,2025-11-04T11:30:00Z,sara.lee@yahoo.com,US,US,dev_b,77.33.20.8,mozilla,1,2,1,false,false,120,2.1,0
4,2025-11-04T11:33:00Z,mk991@outlook.com,GB,GB,dev_c,44.18.93.2,mozilla,0,1,1,false,false,140,2.4,0
5,2025-11-04T11:35:00Z,userx112@tempmail.com,DE,US,dev_x2,88.10.11.5,headless,3,9,6,true,true,22,0.7,1
6,2025-11-04T11:38:00Z,alice09@gmail.com,US,US,dev_d,50.16.21.9,mozilla,0,1,1,false,false,170,2.3,0
7,2025-11-04T11:40:00Z,qw9911@maildrop.cc,FR,BR,dev_x3,91.14.7.9,headless,5,10,8,true,true,15,0.4,1
8,2025-11-04T11:44:00Z,bob77@icloud.com,US,US,dev_e,20.40.12.1,mozilla,0,2,1,false,false,130,2.0,0
9,2025-11-04T11:49:00Z,rx011@tempmail.com,US,CA,dev_x1,31.12.14.2,headless,3,12,8,true,true,21,0.6,1
10,2025-11-04T11:53:00Z,melissa.k@mail.com,CA,CA,dev_f,62.43.21.9,mozilla,1,2,1,false,false,95,1.8,0
11,2025-11-04T11:58:00Z,nobita@fastmail.com,JP,JP,dev_g,16.54.78.9,mozilla,0,1,1,false,false,160,2.2,0
12,2025-11-04T12:02:00Z,auto_811@10minmail.com,US,RU,dev_x4,14.88.33.2,headless,4,9,7,true,true,17,0.5,1
13,2025-11-04T12:08:00Z,harry.21@gmail.com,US,US,dev_h,40.9.13.5,mozilla,0,2,1,false,false,115,2.1,0
14,2025-11-04T12:12:00Z,agent799@tempmail.com,NL,TR,dev_x5,77.71.10.4,headless,4,8,6,true,true,20,0.6,1
15,2025-11-04T12:16:00Z,riya93@yahoo.com,IN,IN,dev_i,12.8.7.4,mozilla,1,2,1,false,false,140,2.0,0
16,2025-11-04T12:20:00Z,newuser@proton.me,US,US,dev_j,23.77.11.1,mozilla,0,3,1,false,false,88,1.7,0
17,2025-11-04T12:24:00Z,zeus_bot@tempmail.com,US,MX,dev_x1,31.12.14.2,headless,5,13,9,true,true,19,0.5,1
18,2025-11-04T12:30:00Z,maria@outlook.com,ES,ES,dev_k,81.6.2.4,mozilla,0,1,1,false,false,132,2.2,0
